maxpolesu;2023-06-30 14:46:15.814601;0;5704787049;None
CVP3LLA;2023-06-18 20:19:42.713062;2;545407283;None
Rask2020;2023-07-13 12:56:26.752063;6;6145871916;5000000
s;2023-10-30 14:46:15.814601;0;1234;None
Rierararoura;2023-06-27 18:26:44.188126;0;773281550;87500
